Gene	log2FoldChange	pvalue	padj
STPG1	0.137095844714667	0.391968657178394	0.499994982577514
NIPAL3	-0.0564698171396089	0.455039206862587	0.499994982577514
AK2	-1.8547228112584	0.000103856780597877	0.000882314811745931
ST7L	1.83200828244444	0.000124145358409655	0.00102692169280969
DNAJC11	0.0404268323140999	0.467779164764913	0.499994982577514
E2F2	-1.65382744832896	0.000470403335868008	0.00308048851196897
CSDE1	0.151152199743894	0.38121001242199	0.499994982577514
METTL13	-1.64479782779235	0.000501657236241293	0.00326250188810717
SCMH1	0.201842371387704	0.343222280251956	0.499994982577514
FMO1	-0.0062714099052421	0.494996270062226	0.499994982577514
ATP1A2	0.130486965422349	0.397056305482813	0.499994982577514
RUNX3	1.32804899991024	0.00395253190659184	0.0184516712273074
DEPDC1	1.1098146278644	0.0132219723302738	0.0526089447571653
KPNA6	-0.0278788766817371	0.477767395243963	0.499994982577514
SARS1	-1.97209551504347	4.00349066023153e-05	0.000410357792673732
LRRC7	0.0635950398070075	0.449394978466748	0.499994982577514
ZZZ3	-0.0284252921416072	0.47733210931638	0.499994982577514
SLC66A1	-0.265645542090478	0.297608541406032	0.499994982577514
USH2A	1.65946970144287	0.000451800178088435	0.00297935362193982
VPS13D	0.132011334573019	0.395881225447085	0.499994982577514
COL9A2	-0.0306638594078475	0.475549107960908	0.499994982577514
H6PD	-0.178130843398	0.360822299469455	0.499994982577514
UTS2	-0.0171917355759621	0.486285681894346	0.499994982577514
SIKE1	0.12146746991726	0.404027899061846	0.499994982577514
OPN3	2.35720094277058	1.21210889458823e-06	3.57193339873968e-05
SDCCAG8	-0.04304691316062	0.465695915642865	0.499994982577514
HHAT	-0.025726938276893	0.479481927155825	0.499994982577514
KIF1B	-0.176316308519478	0.362181940810826	0.499994982577514
SZRD1	0.905464920564555	0.035075856310205	0.126246307253906
PITHD1	-0.0639994875960119	0.449074892024416	0.499994982577514
LAMC2	0.0455450123241219	0.46371052943399	0.499994982577514
ATP2B4	1.28014242257923	0.00522932006845189	0.0235944919834935
NDC1	0.103510352196992	0.417996844489678	0.499994982577514
TARBP1	-0.0608926375407211	0.451534537960578	0.499994982577514
PTPRU	0.050495512329797	0.459778792516425	0.499994982577514
COL11A1	-0.171700867907334	0.365648126924307	0.499994982577514
CHI3L2	1.96554461391643	4.22809392517376e-05	0.000428719631337511
PKN2	-0.0850907594176518	0.432433692769065	0.499994982577514
SPEN	-0.241420764994663	0.314604130180978	0.499994982577514
KDM4A	0.00361226068922556	0.497117858038107	0.499994982577514
NFYC	0.0205998600200254	0.483568338430199	0.499994982577514
ASPM	-0.909357952186838	0.0344773920057724	0.124567741997867
EVI5	2.07880101045594	1.60802832078755e-05	0.000207722014589405
RRP15	-0.0726704827076575	0.442220836182973	0.499994982577514
IARS2	-0.136828104441929	0.392174416851095	0.499994982577514
NUCKS1	0.0432818025888717	0.465509198064337	0.499994982577514
TGFBR3	-0.0811393176186672	0.435543219140369	0.499994982577514
EIF2B3	0.144410126172125	0.386359466569149	0.499994982577514
CDC42	1.26707035491709	0.00563617287629714	0.02530910010642
PTGS2	0.0655647883402207	0.447836402180748	0.499994982577514
